key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-316992292,"Behavior, color changes, and predation risk induced by acanthocephalan parasitism in the Caribbean termite Nasutitermes acajutlae",2003,,,CARIBBEAN JOURNAL OF SCIENCE,0008-6452     J9  - CARIBB J SCI     JI  - Caribb. J. Sci.,39,1,128-135     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Fuller, CA and Rock, P and Philips, T",,English,,"[""Murray State Univ, Dept Biol, Murray, KY 42071 USA"", ""Univ Virgin Isl, Div Sci & Math, St Thomas, VI 00802 USA     PU  - UNIV PUERTO RICO     PI  - MAYAGUEZ     PA  - COLLEGE ARTS SCIENCES, MAYAGUEZ, PR 00680 USA""]","We documented color and behavior changes of workers of the Caribbean termite Nasutitermes acajutlae infected with acanthocephalan parasites, and measured differential predation by Anolis lizards on parasitized workers. We broke foraging trails and examined two measures of behavioral change associated with parasitism: the time lapse until first appearance at the broken trail and the time focal animals spent exposed. We compared these variables among parasitized workers, unparasitized workers from parasitized colonies, and workers from unparasitized colonies. We determined if color differed among parasitized workers, unparasitized workers, and unparasitized soldiers by comparing head and body color against a color chart. Finally, we examined if lizard predators preferred parasitized workers over unparasitized workers in choice tests. Parasitized workers arrived at trail breaks significantly earlier and spent significantly more time exposed than unparasitized workers. In choice trials, lizards were significantly more likely to choose parasitized workers. We conclude that changes associated with parasitism increase the likelihood that termites will be eaten by the definitive host of the parasite. To our knowledge, acanthocephalans have not previously been reported to alter the appearance of insects or other terrestrial arthropods, nor have any parasites been reported to alter behavior or appearance of termites.","Times Cited in Web of Science Core Collection:  15     Total Times Cited:  17     Cited Reference Count:  16 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",,ISOPTERA;Caribbean Region;Prednisolone,,
rayyan-316992399,ON A NEW MODEL OF TWO-PATCH PREDATOR-PREY SYSTEM WITH MIGRATION OF BOTH SPECIES,2011,,,JOURNAL OF APPLIED ANALYSIS AND COMPUTATION,"[""2156-907X"", ""2158-5644     J9  - J APPL ANAL COMPUT     JI  - J. Appl. Anal. Comput.""]",1,2,193-203     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Feng, W and Rock, B and Hinson, J",,English,,"[""Univ N Carolina, Dept Math & Stat, Wilmington, NC 28403 USA"", ""Cape Fear Community Coll, Dept Math & Phys Educ, Wilmington, NC 28401 USA     PU  - WILMINGTON SCIENTIFIC PUBLISHER, LLC     PI  - WILMINGTON     PA  - 890-1 S KERR AVE, WILMINGTON, NC 28403 USA""]",In this paper we explore the dynamics of predator-prey in a two patch system. The two patches of the system are coupled with both the migration of the predator and the prey. The purpose of this exploration is to find upper and lower bounds for the populations and get an insight on the different possibilities with the three types of Honing functional responses. Also we discuss the stability and instability of the equilibrium solutions found in earlier papers. Numerical simulations are provided to graphically demonstrate the population dynamics of the system.,"Times Cited in Web of Science Core Collection:  14     Total Times Cited:  14     Cited Reference Count:  15 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",,Predator-prey models;two-patch migrations;extinction or coexistence;stability and asymptotic behavior;numerical simulations;Prednisolone,,
rayyan-316992524,Demonising the dingo: How much wild dogma is enough?,2011,,,CURRENT ZOOLOGY,"[""1674-5507"", ""2396-9814     J9  - CURR ZOOL     JI  - Curr. Zool.""]",57,5,668-670     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Letnic, M and Crowther, MS and Dickman, CR and Ritchie, EG",,English,,"[""Univ Western Sydney, Hawkesbury Inst Environm, Penrith, NSW 2751, Australia"", ""Univ Sydney, Sch Biol Sci, Inst Wildlife Res, Sydney, NSW 2006, Australia"", ""Deakin Univ, Sch Life & Environm Sci, Burwood, Vic 3125, Australia     PU  - OXFORD UNIV PRESS     PI  - OXFORD     PA  - GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND""]","The roles that top predators play in regulating the structure and function of ecosystems have long been controversial. This is particularly the case when predators pose adverse risks for human life and/or economic interests. The critique of literature on dingoes and their ecological roles in Australia provided by Allen et al. (2011) shows that top predators remain a potentially polarising issue. In opposition to Allen et al. we argue that these widespread patterns of species' abundances, attributed to the effects of dingoes and evident at scales ranging from the foraging behaviour of individuals through to continental scale patterns of species abundances, constitute strong support for the mesopredator release hypothesis and provide evidence that dingoes benefit biodiversity conservation by inducing community wide trophic cascades. Harnessing the positive ecological effects of dingoes while at the same time minimising their impacts on agriculture is a major socio-political challenge in Australia [Current Zoology 57 (5): 668-670].","Times Cited in Web of Science Core Collection:  21     Total Times Cited:  24     Cited Reference Count:  27 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",,Trophic cascade;Mesopredator release hypothesis;Dingo;fox;Intra-guild predation;TOP-PREDATOR;INVASIVE MESOPREDATOR;AUSTRALIA;KANGAROOS;RELEASE;EMUS;POPULATIONS;ABUNDANCE;NUMBERS;FENCE,,
rayyan-316992853,Similar breeding success of bearded vultures in disturbed and undisturbed areas shows evidence of adaptation capabilities,2019,,,HUMAN-WILDLIFE INTERACTIONS,"[""1934-4392"", ""1936-8046     J9  - HUM-WILDL INTERACT     JI  - Hum.-Wildl. Interact.""]",13,3,459-473     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Comor, V and Puolin, N and Boos, M",,English,,"[""Res & Consulting Agcy Appl Ecol Naturaconsta, 12 Rue Bouchers, F-67270 Hochfelden, France"", ""Univ Strasbourg, CeStatS, IRMA, UMR 7501, 7 Rue Rene Descartes, F-67084 Strasbourg, France"", ""CNRS, 7 Rue Rene Descartes, F-67084 Strasbourg, France     PU  - JACK H BERRYMAN INST     PI  - LOGAN     PA  - UTAH STATE UNIV, DEPT WILDLAND RESOURCES, LOGAN, UTAH 84322-5230 USA""]","Human activities are usually considered as disturbing factors impeding the breeding success of wild animals. Protected areas can then be set up to restrict such activities aiming to improve wildlife's breeding success and conservation. To test for the efficiency of these measures, we compared the breeding success of bearded vultures (Gypaetus barbatus) in the western French Pyrenees from autumn 2011 to spring 2017, where eyries are located either within or outside restricted areas, where potentially disturbing activities are restricted (e.g., helicopter flights, forestry works, hunting, paragliding). We monitored reproducing bearded vultures and checked the breeding success at different stages (laying, incubation, hatching, and survival at 2 months) of formed pairs. We then compared the success of each stage between eyries located in restricted and non-restricted areas, including weather data in our model. We found that the breeding success was similar in both types of areas, but that is was negatively impacted by precipitations, which may directly affect the ability of the egg or chick to withstand cold. We also focused on the potential disturbance of hunting parties on the behavior of bearded vultures and found no evidence that hunting was perceived as a threat by bearded vultures; they may in fact benefit from gut piles. Hence, our comparison of the breeding success between eyries located in restricted versus non-restricted areas shows no detrimental impact of human activities and calls for some studies to assess the effectiveness of restrictions in improving the breeding success of bearded vultures, as this species seems to show some degree of tolerance to human activities and may significantly suffer from harsh winter weather in this area.","Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  85 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",,bearded vulture;breeding success;Gypaetus barbatus;human disturbance;hunting;Pyrenees;species adaptation;tolerance;LAND-USE PRACTICES;GYPAETUS-BARBATUS;BEHAVIORAL-RESPONSES;CROP DAMAGE;HUNTING DISTURBANCE;PREDATION RISK;BALD EAGLES;NOISE;WATERBIRDS;IMPACTS;Breeding,,
rayyan-353830665,"Behavioral response races, predator-prey shell games, ecology of fear, and patch use of pumas and their ungulate prey",2010,10,,ECOLOGY,"[""0012-9658"", ""1939-9170     J9  - ECOLOGY     JI  - Ecology""]",91,10,2995-3007,"Laundre, JW",,English,,"[""Idaho State Univ, Pocatello, ID 83209 USA"", ""Inst Ecol AC, Xalapa 91070, Veracruz, Mexico     FU  - ALSAM Foundation; Boone and Crockett Club; Earthwatch, Institute; Fanwood Foundation; Idaho State University; National Rifle Association; Eppley Foundation; U.S. Bureau of Land Management; Northern Rockies Conservation Cooperative; Idaho Department of Fish and Game; Mazamas; Merrill G. and Emita E. Hasting Foundation; Patagonia, Inc.; SEACON of the Chicago Zoological Society; William H. and Mattie Wattis Harris Foundation; Utah Division of Wildlife; Wiancko Charitable Trust     FX  - This work was supported by the following foundations and agencies: ALSAM Foundation, Boone and Crockett Club, Earthwatch, Institute, Fanwood Foundation, Idaho State University, National Rifle Association, The Eppley Foundation, U. S. Bureau of Land Management, Northern Rockies Conservation Cooperative, Idaho Department of Fish and Game, Mazamas, Merrill G. and Emita E. Hasting Foundation, Patagonia, Inc., SEACON of the Chicago Zoological Society, William H. and Mattie Wattis Harris Foundation, Utah Division of Wildlife, and Wiancko Charitable Trust. I thank Susan Clark, Lucina Hernandez, Ken Jafek, Kevin Allred, Don Struebel, Janet Loxterman, Brian Holmes, Kelly Altendorf, Carlos Lopez Gonzalez, Laura Heady, Scott Blum, and the many Earthwatch volunteers without whose help we could not have accomplished this work.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","The predator-prey shell game predicts random movement of prey across the landscape, whereas the behavioral response race and landscape of fear models predict that there should be a negative relationship between the spatial distribution of a predator and its behaviorally active prey. Additionally, prey have imperfect information on the whereabouts of their predator, which the predator should incorporate in its patch use strategy. I used a one-predator-one-prey system, puma (Puma concolor)-mule deer (Odocoileus hemionus) to test the following predictions regarding predator-prey distribution and patch use by the predator. (1) Pumas will spend more time in high prey risk/low prey use habitat types, while deer will spend their time in low-risk habitats. Pumas should (2) select large forage patches more often, (3) remain in large patches longer, and (4) revisit individual large patches more often than individual smaller ones. I tested these predictions with an extensive telemetry data set collected over 16 years in a study area of patchy forested habitat. When active, pumas spent significantly less time in open areas of low intrinsic predation risk than did deer. Pumas used large patches more than expected, revisited individual large patches significantly more often than smaller ones, and stayed significantly longer in larger patches than in smaller ones. The results supported the prediction of a negative relationship in the spatial distribution of a predator and its prey and indicated that the predator is incorporating the prey's imperfect information about its presence. These results indicate a behavioral complexity on the landscape scale that can have far-reaching impacts on predator-prey interactions.","Times Cited in Web of Science Core Collection:  89     Total Times Cited:  89     Cited Reference Count:  52 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""}",10.1890/08-2345.1     WE  - Science Citation Index Expanded (SCI-EXPANDED),"behavioral response race;follow-up visits;Idaho and Utah, USA;landscape of fear;mule deer;Odocoileus hemionus;patch use patterns;predator-prey interactions;Puma concolor;risk;HABITAT SELECTION;MULE DEER;ACTIVITY PATTERNS;FORAGING GAMES;RISK;CONCOLOR;GERBILS;LANDSCAPE;MOVEMENT;TIME;Continental Population Groups;Prednisolone",,
rayyan-353830666,"The ecology of fear: Optimal foraging, game theory, and trophic interactions",1999,5,,JOURNAL OF MAMMALOGY,"[""0022-2372"", ""1545-1542     J9  - J MAMMAL     JI  - J. Mammal.""]",80,2,385-399,"Brown, JS and Laundre, JW and Gurung, M",,English,,"Univ Illinois, Dept Biol Sci, Chicago, IL 60607 USA     PU  - OXFORD UNIV PRESS INC     PI  - CARY     PA  - JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA","Mammalian predator-prey systems are behaviorally sophisticated games of stealth and fear. But, traditional mass-action models of predator prey dynamics treat individuals as behaviorally unresponsive ""molecules"" in Brownian motion. Foraging theory should provide the conceptual framework to envision the interaction. But, current models of predator feeding behavior generally envision a clever predator consuming large numbers of sessile and behaviorally inert prey (e.g., kangaroo rats, Dipodomys, collecting seeds from food patches). Here, we extend foraging theory to consider a predator-prey game of stealth and fear and then embed this game into the modeling of predator-prey population dynamics. The melding of the prey and predator's optimal behaviors with their population and community-level consequences constitutes the ecology of fear. The ecology of fear identifies the endpoints of a continuum of N-driven (population size) versus mu-driven (fear) systems. In N-driven systems, the major direct dynamical feedback involves predators killing prey, whereas mu-driven systems involve the indirect effects from changes in fear levels and prey catchability. In mu-driven systems, prey respond to predators by becoming more vigilant or by moving away from suspected predators. In this way, a predator (e.g., mountain lion, Puma concolor) depletes a food patch (e.g., local herd of mule deer, Odocoileus hemionus) by frightening prey rather than by actually killing prey. Behavior buffers the system: a reduction in predator numbers should rapidly engender less vigilant and more catchable prey. The ecology of fear explains why big fierce carnivores should be and can be rare. In carnivore systems, ignore the behavioral game at one's peril.","Times Cited in Web of Science Core Collection:  729     Total Times Cited:  743     Cited Reference Count:  46 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""}",10.2307/1383287     WE  - Science Citation Index Expanded (SCI-EXPANDED),Puma concolor;mountain lion;Odocoileus hemionus;mule deer;predator-prey dynamics;PREDATION RISK;PATCH USE;SPECIES INTERACTIONS;RESOURCE DEPRESSION;HABITAT SELECTION;PREY;BEHAVIOR;COMPETITION;CONSEQUENCES;GERBILS,,
rayyan-353830667,Predators risk injury too: the evolution of derring-do in a predator-prey foraging game,2016,9,,ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,"[""1565-9801"", ""2224-4662     J9  - ISR J ECOL EVOL     JI  - Isr. J. Ecol. Evol.""]",62,3,196-204,"Brown, JS and Embar, K and Hancock, E and Kotler, BP",,English,,"[""Univ Illinois, Dept Biol Sci, Chicago, IL 60607 USA"", ""Ben Gurion Univ Negev, Blaustein Inst Desert Res, Mitrani Dept Desert Ecol, Midreseht Ben Gurion, Israel     FU  - Israel-United States Binational Science Foundation awarded; National Science Foundation; US-Israel Binational Science Foundation     FX  - This work was supported in part by a Prof. Rohamimoff Travel Grant for Young Scientists from the Israel-United States Binational Science Foundation awarded to Keren Embar; the National Science Foundation; US-Israel Binational Science Foundation.     PU  - TAYLOR & FRANCIS LTD     PI  - ABINGDON     PA  - 2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND""]","Derring-do is how aggressive a predator is in stalking and capturing prey. We model predator-prey interactions in which prey adjust vigilance behavior to mitigate risk of predation and predators their derring-do to manage risk of injury from capturing prey. High derring-do increases a predator's likelihood of capturing prey, but at higher risk of injury to itself. For fixed predator derring-do, prey increase vigilance in response to predator abundance, predator lethality, and predator encounter probability with prey and decrease vigilance with their own feeding rate; there is a humped-shaped relationship between prey vigilance and effectiveness of vigilance. For fixed prey vigilance, predators increase derring-do with the abundance of prey and predator lethality and decrease it with benefit of vigilance to prey and level of prey vigilance. When both prey and predator are behaviorally flexible, a predator-prey foraging game ensues whose solution represents an evolutionarily stable strategy (ESS). At the ESS, prey provide themselves with a public good as their vigilance causes predators to decrease derring-do. Conversely, predators have negative indirect effects on themselves as their derring-do causes prey to be more vigilant. These behavioral feedbacks create negative intra-specific interaction coefficients. Increasing the population size of prey (or predators) now has a direct negative effect on the prey (or predators). Both effects help stabilize predator-prey dynamics. Besides highlighting a common way by which predators may experience a food-safety tradeoff via dangerous prey, the model suggests why natural selection favors even small defensive measures by prey and hulky predators.","Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  36 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""}",10.1080/15659801.2016.1207298     WE  - Science Citation Index Expanded (SCI-EXPANDED),derring-do or predator daring;ecology of fear and fear management;foraging games;predator-prey interactions;risk of injury and risk management;tradeoffs of food and safety;DANGEROUS PREY;HABITAT SELECTION;VIGILANCE;COEVOLUTION;DECISIONS;ECOLOGY;GERBILS;FEAR;Prednisolone,,
rayyan-353830668,A 'dynamic' landscape of fear: prey responses to spatiotemporal variations in predation risk across the lunar cycle,2017,11,,ECOLOGY LETTERS,"[""1461-023X"", ""1461-0248     J9  - ECOL LETT     JI  - Ecol. Lett.""]",20,11,1364-1373,"Palmer, MS and Fieberg, J and Swanson, A and Kosmala, M and Packer, C",,English,,"[""Univ Minnesota, Dept Ecol Evolut & & Behav, St Paul, MN 55108 USA"", ""Univ Minnesota, Dept Fisheries Wildlife & Conservat Biol, St Paul, MN 55108 USA"", ""Univ Oxford, Dept Phys, Oxford, England"", ""Harvard Univ, Dept Organism & Evolutionary Biol, Cambridge, MA 02138 USA     FU  - NSF [DEB - 1020479]; National Geographic explorer grants; NSF GRFP Grant [00039202]; James W. Wilkie Fund for Natural History Fellowship; University of Minnesota Thesis Research Grant; Alexander & Lydia Anderson Grant; University of Minnesota Ecology, Evolution, and Behavior Department Research and Travel awards     FX  - We thank the Zooniverse staff and > 70 000 volunteers who contributed to Snapshot Serengeti classifications (complete list at www.snapshotserengeti.org/#/authors), in addition to the Serengeti Lion Project field staff, particularly D. Rosengren and I. Munuo. We greatly appreciate the insightful comments of Vicenzo Penteriani and two anonymous reviewers. The authors also acknowledge the Minnesota Supercomputing Institute (http://www.msi.umn.edu) for providing resources that contributed to data storage/processing and analysis. This study was supported by NSF grant DEB - 1020479, National Geographic explorer grants, NSF GRFP Grant #00039202, the James W. Wilkie Fund for Natural History Fellowship, the University of Minnesota Thesis Research Grant, the Alexander & Lydia Anderson Grant, and the University of Minnesota Ecology, Evolution, and Behavior Department Research and Travel awards. Research clearance was provided by the Tanzania Wildlife Research Institute and Tanzania National Parks.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Ambiguous empirical support for landscapes of fear' in natural systems may stem from failure to consider dynamic temporal changes in predation risk. The lunar cycle dramatically alters night-time visibility, with low luminosity increasing hunting success of African lions. We used camera-trap data from Serengeti National Park to examine nocturnal anti-predator behaviours of four herbivore species. Interactions between predictable fluctuations in night-time luminosity and the underlying risk-resource landscape shaped herbivore distribution, herding propensity and the incidence of relaxed' behaviours. Buffalo responded least to temporal risk cues and minimised risk primarily through spatial redistribution. Gazelle and zebra made decisions based on current light levels and lunar phase, and wildebeest responded to lunar phase alone. These three species avoided areas where likelihood of encountering lions was high and changed their behaviours in risky areas to minimise predation threat. These patterns support the hypothesis that fear landscapes vary heterogeneously in both space and time.","Times Cited in Web of Science Core Collection:  71     Total Times Cited:  71     Cited Reference Count:  76 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",10.1111/ele.12832     WE  - Science Citation Index Expanded (SCI-EXPANDED),Anti-predator behaviour;buffalo;landscape of fear;lion;lunar cycle;predation risk;predator-prey interaction;Thomson's gazelle;wildebeest;zebra;MEDIATED TROPHIC CASCADE;MOONLIGHT AVOIDANCE;TEMPORAL VARIATION;ANTIPREDATOR BEHAVIOR;FORAGING BEHAVIOR;HUNTING MODE;SHELL GAMES;HABITAT USE;PATCH USE;ELK;Prednisolone,,
rayyan-353830669,Foraging games between gerbils and their predators: temporal dynamics of resource depletion and apprehension in gerbils,2002,5,,EVOLUTIONARY ECOLOGY RESEARCH,"[""1522-0613"", ""1937-3791     J9  - EVOL ECOL RES     JI  - Evol. Ecol. Res.""]",4,4,495-518     WE  - Science Citation Index Expanded (SCI-EXPANDED),"Kotler, BP and Brown, JS and Dall, SRX and Gresser, S and Ganey, D and Bouskila, A",,English,,"[""Ben Gurion Univ Negev, Jacob Blaustein Inst Desert Res, Mitrani Dept Desert Ecol, IL-84990 Sede Boqer, Israel"", ""Univ Illinois, Dept Biol Sci, Chicago, IL 60680 USA"", ""Ben Gurion Univ Negev, Dept Life Sci, Beer Sheva, Israel     PU  - EVOLUTIONARY ECOLOGY LTD     PI  - TUCSON     PA  - UNIV ARIZONA, 321 BIOSCIENCES WEST, TUCSON, AZ 85721 USA""]","Predator-prey interactions constitute a foraging game when prey individuals manage risk from predators and predator individuals manage fear in their prey. As tools for managing risk, clever prey can use time allocation and apprehension (redirecting attention from foraging to predator detection). One such foraging game occurs between gerbils and their predators on the sand dunes of the Negev Desert. Here, interacting species of gerbils compete for patches of seeds that renew daily by afternoon winds. In such circumstances, gerbils are expected to deplete resource patches over the course of the night, the predators are expected to hunt when gerbil activity is highest, and gerbils are expected to be most apprehensive when predators are most active and most deadly. We tested these predictions for gerbils in two field experiments using seed trays to measure resource depletion, gerbil activity and apprehension over the course of the night, between the bush and open microhabitats and at four moon phases (new, half waxing, full and half waning). Gerbils depleted seed resources more quickly in the bush microhabitat than the open and more quickly at new moon than at other moon phases. Gerbil activity at new moon was high throughout most of the night, but decreased towards dawn. In contrast, activity at full moon was generally low, but increased towards dawn. The two gerbil species Gerbillus andersoni allenbyi and G. pyramidum partitioned the night, with G. pyramidum visiting resource patches earlier in the night and encountering a richer, but more risky environment, and G. a. allenbyi foraging later in an environment characterized by fewer seed resources, but lower risk. The same pattern extended over moon phases, with G. pyramidum foraging relatively more at full and waning half moon. Apprehension by gerbils was higher early in the night than later and higher at full moon than new moon. Schedules of apprehension changed according to moon phase and may have differed between the two gerbils. Finally, apprehension was higher in the open microhabitat, although the opposite was true at the beginning of the night. This foraging game affects three trophic levels, including the effect of the gerbils on the availability and distribution of seeds, the competitive interaction between the two gerbil species and the predator-prey interaction between gerbils and owls.","Times Cited in Web of Science Core Collection:  139     Total Times Cited:  142     Cited Reference Count:  47 | RAYYAN-INCLUSION: {""Shawn ""=>""Excluded""}",,apprehension;ecology of fear;foraging behaviour;foraging games;game theory;gerbils;giving-up density;optimal patch use;owls;predator-prey interactions;resource depletion;risk of predation;temporal partitioning;vigilance;HABITAT SELECTION;PATCH USE;SELFISH SENTINELS;OPTIMAL FORAGERS;RISK;COMPETITION;RODENTS;COEXISTENCE;VIGILANCE;ECOLOGY;Gerbillinae;Prednisolone,,
rayyan-353830670,Complex tactics in a dynamic large herbivore-carnivore spatiotemporal game,2019,9,,OIKOS,"[""0030-1299"", ""1600-0706     J9  - OIKOS     JI  - Oikos""]",128,9,1318-1328,"Simon, RN and Cherry, SG and Fortin, D",,English,,"[""Univ Laval, Dept Biol, Pavillon Alexandre Vachon,1045 Ave Med,Bur 2050, Quebec City, PQ G1V 0A6, Canada"", ""Univ Laval, Ctr Etud Foret, Pavillon Alexandre Vachon,1045 Ave Med,Bur 2050, Quebec City, PQ G1V 0A6, Canada"", ""Pk Canada, Yoho & Kootenay Field Unit, Radium Springs, BC, Canada     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","The spatiotemporal game between predators and prey is a fundamental process governing their distribution dynamics. Players may adopt different tactics as the associated costs and benefits change through time. Yet few studies have investigated the potentially simultaneous and dynamic nature of movement tactics used by both players. It is particularly unclear to what extent perceived predation risk mediates the fine-scale distribution of large and dangerous prey, which are mostly driven by bottom-up, resource-related processes. We built habitat use and movement models based on 10 years of monitoring GPS-collared grey wolves Canis lupus and plains bison Bison bison bison in Prince Albert National Park, Canada, to investigate the predator-large prey game in a multi-prey system. Bison did not underuse patches of high-quality vegetation at any time during the seasonal cycle even though wolves were selectively patrolling these areas. Rather, in at least one season, bison engaged in complex tactics comprised of proactive responses to the long-term distribution (risky places) and reactive responses to the immediate proximity (risky times) of their opponent. In summer-autumn, bison reduced the time spent in food-rich patches as both the long-term use and the immediate proximity of wolves increased. By demonstrating that wolf distribution triggers patch abandonment by bison, we provide a key element in support of the shell game hypothesis - where prey move constantly to avoid predators attempting to anticipate their location. In winter, a season of relatively high energetic stress, bison no longer abandoned food-rich patches as predation risk increased, while no bison responses to wolves were observed in spring-summer. Our work demonstrates the highly dynamic and complex nature of the predator-large prey spatiotemporal game, a key trait-mediated mechanism by which trophic interactions structure ecological communities.","Times Cited in Web of Science Core Collection:  5     Total Times Cited:  5     Cited Reference Count:  74 | RAYYAN-INCLUSION: {""Shawn ""=>""Included""}",10.1111/oik.06166     WE  - Science Citation Index Expanded (SCI-EXPANDED),anti-predator behaviour;grey wolf;landscape of fear;large prey;plains bison;predation risk;predator-prey interaction;Prince Albert National Park;risky places;risky times;shell game;PREY SHELL GAMES;HABITAT SELECTION;ANTIPREDATOR RESPONSES;DECISION-MAKING;ANIMAL MOVEMENT;PREDATION RISK;PATCH USE;BISON;WOLVES;FEAR,,
