"key","title","year","journal","authors","language","abstract","doi","keywords","reviewer","status"
"rayyan-353830665","Behavioral response races, predator-prey shell games, ecology of fear, and patch use of pumas and their ungulate prey",2010,"ECOLOGY","Laundre, JW","English","The predator-prey shell game predicts random movement of prey across the landscape, whereas the behavioral response race and landscape of fear models predict that there should be a negative relationship between the spatial distribution of a predator and its behaviorally active prey. Additionally, prey have imperfect information on the whereabouts of their predator, which the predator should incorporate in its patch use strategy. I used a one-predator-one-prey system, puma (Puma concolor)-mule deer (Odocoileus hemionus) to test the following predictions regarding predator-prey distribution and patch use by the predator. (1) Pumas will spend more time in high prey risk/low prey use habitat types, while deer will spend their time in low-risk habitats. Pumas should (2) select large forage patches more often, (3) remain in large patches longer, and (4) revisit individual large patches more often than individual smaller ones. I tested these predictions with an extensive telemetry data set collected over 16 years in a study area of patchy forested habitat. When active, pumas spent significantly less time in open areas of low intrinsic predation risk than did deer. Pumas used large patches more than expected, revisited individual large patches significantly more often than smaller ones, and stayed significantly longer in larger patches than in smaller ones. The results supported the prediction of a negative relationship in the spatial distribution of a predator and its prey and indicated that the predator is incorporating the prey's imperfect information about its presence. These results indicate a behavioral complexity on the landscape scale that can have far-reaching impacts on predator-prey interactions.","10.1890/08-2345.1     WE  - Science Citation Index Expanded (SCI-EXPANDED)","behavioral response race;follow-up visits;Idaho and Utah, USA;landscape of fear;mule deer;Odocoileus hemionus;patch use patterns;predator-prey interactions;Puma concolor;risk;HABITAT SELECTION;MULE DEER;ACTIVITY PATTERNS;FORAGING GAMES;RISK;CONCOLOR;GERBILS;LANDSCAPE;MOVEMENT;TIME;Continental Population Groups;Prednisolone","Shawn","Included"
"rayyan-353830666","The ecology of fear: Optimal foraging, game theory, and trophic interactions",1999,"JOURNAL OF MAMMALOGY","Brown, JS and Laundre, JW and Gurung, M","English","Mammalian predator-prey systems are behaviorally sophisticated games of stealth and fear. But, traditional mass-action models of predator prey dynamics treat individuals as behaviorally unresponsive ""molecules"" in Brownian motion. Foraging theory should provide the conceptual framework to envision the interaction. But, current models of predator feeding behavior generally envision a clever predator consuming large numbers of sessile and behaviorally inert prey (e.g., kangaroo rats, Dipodomys, collecting seeds from food patches). Here, we extend foraging theory to consider a predator-prey game of stealth and fear and then embed this game into the modeling of predator-prey population dynamics. The melding of the prey and predator's optimal behaviors with their population and community-level consequences constitutes the ecology of fear. The ecology of fear identifies the endpoints of a continuum of N-driven (population size) versus mu-driven (fear) systems. In N-driven systems, the major direct dynamical feedback involves predators killing prey, whereas mu-driven systems involve the indirect effects from changes in fear levels and prey catchability. In mu-driven systems, prey respond to predators by becoming more vigilant or by moving away from suspected predators. In this way, a predator (e.g., mountain lion, Puma concolor) depletes a food patch (e.g., local herd of mule deer, Odocoileus hemionus) by frightening prey rather than by actually killing prey. Behavior buffers the system: a reduction in predator numbers should rapidly engender less vigilant and more catchable prey. The ecology of fear explains why big fierce carnivores should be and can be rare. In carnivore systems, ignore the behavioral game at one's peril.","10.2307/1383287     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Puma concolor;mountain lion;Odocoileus hemionus;mule deer;predator-prey dynamics;PREDATION RISK;PATCH USE;SPECIES INTERACTIONS;RESOURCE DEPRESSION;HABITAT SELECTION;PREY;BEHAVIOR;COMPETITION;CONSEQUENCES;GERBILS","Shawn","Included"
"rayyan-353830667","Predators risk injury too: the evolution of derring-do in a predator-prey foraging game",2016,"ISRAEL JOURNAL OF ECOLOGY & EVOLUTION","Brown, JS and Embar, K and Hancock, E and Kotler, BP","English","Derring-do is how aggressive a predator is in stalking and capturing prey. We model predator-prey interactions in which prey adjust vigilance behavior to mitigate risk of predation and predators their derring-do to manage risk of injury from capturing prey. High derring-do increases a predator's likelihood of capturing prey, but at higher risk of injury to itself. For fixed predator derring-do, prey increase vigilance in response to predator abundance, predator lethality, and predator encounter probability with prey and decrease vigilance with their own feeding rate; there is a humped-shaped relationship between prey vigilance and effectiveness of vigilance. For fixed prey vigilance, predators increase derring-do with the abundance of prey and predator lethality and decrease it with benefit of vigilance to prey and level of prey vigilance. When both prey and predator are behaviorally flexible, a predator-prey foraging game ensues whose solution represents an evolutionarily stable strategy (ESS). At the ESS, prey provide themselves with a public good as their vigilance causes predators to decrease derring-do. Conversely, predators have negative indirect effects on themselves as their derring-do causes prey to be more vigilant. These behavioral feedbacks create negative intra-specific interaction coefficients. Increasing the population size of prey (or predators) now has a direct negative effect on the prey (or predators). Both effects help stabilize predator-prey dynamics. Besides highlighting a common way by which predators may experience a food-safety tradeoff via dangerous prey, the model suggests why natural selection favors even small defensive measures by prey and hulky predators.","10.1080/15659801.2016.1207298     WE  - Science Citation Index Expanded (SCI-EXPANDED)","derring-do or predator daring;ecology of fear and fear management;foraging games;predator-prey interactions;risk of injury and risk management;tradeoffs of food and safety;DANGEROUS PREY;HABITAT SELECTION;VIGILANCE;COEVOLUTION;DECISIONS;ECOLOGY;GERBILS;FEAR;Prednisolone","Shawn","Included"
"rayyan-353830670","Complex tactics in a dynamic large herbivore-carnivore spatiotemporal game",2019,"OIKOS","Simon, RN and Cherry, SG and Fortin, D","English","The spatiotemporal game between predators and prey is a fundamental process governing their distribution dynamics. Players may adopt different tactics as the associated costs and benefits change through time. Yet few studies have investigated the potentially simultaneous and dynamic nature of movement tactics used by both players. It is particularly unclear to what extent perceived predation risk mediates the fine-scale distribution of large and dangerous prey, which are mostly driven by bottom-up, resource-related processes. We built habitat use and movement models based on 10 years of monitoring GPS-collared grey wolves Canis lupus and plains bison Bison bison bison in Prince Albert National Park, Canada, to investigate the predator-large prey game in a multi-prey system. Bison did not underuse patches of high-quality vegetation at any time during the seasonal cycle even though wolves were selectively patrolling these areas. Rather, in at least one season, bison engaged in complex tactics comprised of proactive responses to the long-term distribution (risky places) and reactive responses to the immediate proximity (risky times) of their opponent. In summer-autumn, bison reduced the time spent in food-rich patches as both the long-term use and the immediate proximity of wolves increased. By demonstrating that wolf distribution triggers patch abandonment by bison, we provide a key element in support of the shell game hypothesis - where prey move constantly to avoid predators attempting to anticipate their location. In winter, a season of relatively high energetic stress, bison no longer abandoned food-rich patches as predation risk increased, while no bison responses to wolves were observed in spring-summer. Our work demonstrates the highly dynamic and complex nature of the predator-large prey spatiotemporal game, a key trait-mediated mechanism by which trophic interactions structure ecological communities.","10.1111/oik.06166     WE  - Science Citation Index Expanded (SCI-EXPANDED)","anti-predator behaviour;grey wolf;landscape of fear;large prey;plains bison;predation risk;predator-prey interaction;Prince Albert National Park;risky places;risky times;shell game;PREY SHELL GAMES;HABITAT SELECTION;ANTIPREDATOR RESPONSES;DECISION-MAKING;ANIMAL MOVEMENT;PREDATION RISK;PATCH USE;BISON;WOLVES;FEAR","Shawn","Included"
"rayyan-353830681","Stability switching and chaos in a multiple delayed prey-predator model with fear effect and anti-predator behavior",2021,"MATHEMATICS AND COMPUTERS IN SIMULATION","Dubey, B and Sajan and Kumar, A","English","Recent studies demonstrate that the density of prey population is not only affected by direct killing by the predator, but the fear in prey caused by predator also reduces it by cutting down the reproduction rate of prey community, and prey shows anti-predator behavior in response to this fear. In this study, we propose a prey-predator model with fear in prey due to predator and anti-predator behavior by prey against the predator with fear response delay and gestation delay. It is assumed that the predator consumes prey via simplified Hotting Type-IV functional response. We evaluate the equilibrium points and study the local and global stability behavior of the system around them. It is observed that our system undergoes Hopf-bifurcation with respect to the fear parameter. Moreover, the system shows the attribute of bi-stability involving two stable equilibriums. Further, we study the dynamics of the delayed system by incorporating fear response delay and gestation delay. We observe that the delayed system suffers Hopf-bifurcation with respect to both delays. Using the normal form method and center manifold theory, the direction and stability of Hopf-bifurcation are studied. Chaotic behavior for delayed system is observed for large values of fear response delay. All these findings are supported by numerical simulation. (C) 2021 International Association for Mathematics and Computers in Simulation (IMACS). Published by Elsevier B.V. All rights reserved.","10.1016/j.matcom.2021.03.037     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Fear effect;Anti-predator behavior;Hopf-bifurcation;Fear response delay;Gestation delay;Chaos;BIFURCATION-ANALYSIS;HOPF-BIFURCATION;SYSTEM;DYNAMICS;Prednisolone","Shawn","Included"
"rayyan-353830682","The ecology of fear and inverted biomass pyramids",2020,"OIKOS","Malone, MA and Halloway, AH and Brown, JS","English","In inverted biomass pyramids (IBPs) prey are outnumbered by their predators when measured by biomass. We investigate how prey should behave in the face of danger from higher predator biomass, and how anti-predator behavior (in the form of vigilance) can, in turn, affect the predator-prey system. In this study, we incorporate anti-predator behaviors into a Lotka-Volterra predator-prey model in the form of fixed and facultative vigilance. Facultative vigilance models behavior as a dynamic foraging game, allowing us to assess optimal behavioral responses in the context of IBPs using a dynamical fitness optimization approach. We model vigilance as a tradeoff between safety and either the prey's maximum growth rate or its carrying capacity. We assess the population dynamics of predators and prey with fear responses, and investigate the role fear plays on trophic structure. We found that the ecology of fear plays an important role in predator-prey systems, impacting trophic structure and the occurrence of IBPs. Fixed vigilance works against IBP structure by always reducing the predator-prey biomass ratio at equilibrium with increasing levels of vigilance. Facultative vigilance can actually promote IBPs, as prey can now adjust their vigilance levels to cope with increased predation and the costs associated with vigilance. This is especially true when the effectiveness of vigilance is low and predators are very lethal. In general, these trends are true whether the costs of vigilance are felt on the prey's maximum growth rate or its carrying capacity. Just as the ecology of fear, when first introduced, was used to explain why top carnivores are rare in terrestrial systems, it can also be used to understand how big fierce predators can be common in IBPs.","10.1111/oik.06948     WE  - Science Citation Index Expanded (SCI-EXPANDED)","anti-predator behavior;conservation;dynamics;ecology of fear;inverted biomass pyramid;predator-prey dynamics;trophic levels;vigilance;PREDATION RISK;ANTIPREDATOR BEHAVIOR;PHASE-SHIFTS;CORAL-REEFS;PATCH USE;FOOD;RESILIENCE;STABILITY;HERBIVORY;DYNAMICS","Shawn","Included"
"rayyan-353830683","Identifying non-independent anthropogenic risks using a behavioral individual-based model",2014,"ECOLOGICAL COMPLEXITY","Semeniuk, CAD and Musiani, M and Birkigt, DA and Hebblewhite, M and Grindal, S and Marceau, DJ","English","Anthropogenic disturbances contribute to an animal's perception of and responses to the predation risk of its environment. Because an animal rarely encounters threatening stimuli in isolation, multiple disturbances can act in non-independent ways to shape an animal's landscape of fear, making it challenging to isolate their effects for effective and targeted management. We present extensions to an existing behavioral agent-based model (ABM) to use as an inverse modeling approach to test, in a scenario-sensitivity analysis, whether threatened Alberta boreal caribou (Rangifer tarandus caribou) differentially respond to industrial features (linear features, forest cutblocks, wellsites) and their attributes: presence, density, harvest age, and wellsite activity status. The spatially explicit ABM encapsulates predation risk, heterogeneous resource distribution, and species-specific energetic requirements, and successfully recreates the general behavioral mechanisms driving habitat selection. To create various industry-driven, predation-risk landscape scenarios for the sensitivity analysis, we allowed caribou agents to differentially perceive and respond to industrial features and their attributes. To identify which industry had the greatest relative influence on caribou habitat use and spatial distribution, simulated caribou movement patterns from each of the scenarios were compared with those of actual caribou from the study area, using a pattern-oriented, multi-response optimization approach. Results revealed caribou have incorporated forestry- and oil and gas features into their landscape of fear that distinctly affect their spatial and energetic responses. The presence of roads, pipelines and seismic lines, and, to a minor extent, high-density cutblocks and active wellsites, all contributed to explaining caribou behavioral responses. Our findings also indicated that both industries produced interaction effects, jointly impacting caribou spatial and energetic patterns, as no one feature could adequately explain anti-predator movement responses. We demonstrate that behavior-based ABMs can be applied to understanding, assessing, and isolating non-consumptive anthropogenic impacts, in support of wildlife management. (C) 2013 Elsevier B.V. All rights reserved.","10.1016/j.ecocom.2013.09.004     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Agent-based model;Animal movement;Predation risk;Multi-response optimization;Scenario-sensitivity analysis;Caribou;WOODLAND CARIBOU;MOVEMENT RESPONSES;HABITAT;LANDSCAPE;PREDATION;WOLVES;PLASTICITY;AVOIDANCE;ENERGY;WEST","Shawn","Included"
"rayyan-353830685","Fear Induced Stabilization in an Intraguild Predation Model",2020,"INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS","Hossain, M and Pal, N and Samanta, S and Chattopadhyay, J","English","In the present paper, we investigate the impact of fear in an intraguild predation model. We consider that the growth rate of intraguild prey (IG prey) is reduced due to the cost of fear of intraguild predator (IG predator), and the growth rate of basal prey is suppressed due to the cost of fear of both the IG prey and the IG predator. The basic mathematical results such as positively invariant space, boundedness of the solutions, persistence of the system have been investigated. We further analyze the existence and local stability of the biologically feasible equilibrium points, and also study the Hopf-bifurcation analysis of the system with respect to the fear parameter. The direction of Hopf-bifurcation and the stability properties of the periodic solutions have also been investigated. We observe that in the absence of fear, omnivory produces chaos in a three-species food chain system. However, fear can stabilize the chaos thus obtained. We also observe that the system shows bistability behavior between IG prey free equilibrium and IG predator free equilibrium, and bistability between IG prey free equilibrium and interior equilibrium. Furthermore, we observe that for a suitable set of parameter values, the system may exhibit multiple stable limit cycles. We perform extensive numerical simulations to explore the rich dynamics of a simple intraguild predation model with fear effect.","10.1142/S0218127420500534     WE  - Science Citation Index Expanded (SCI-EXPANDED)","Fear effect;chaos;Lyapunov exponent;multiple limit cycles;bistability;numerical simulation;POPULATION-GROWTH;COMPETITIVE MODEL;PREY INTERACTIONS;OMNIVORY;RISK;STABILITY;CHAOS;BEHAVIOR;ECOLOGY;OSCILLATIONS;Prednisolone","Shawn","Included"
"rayyan-353830686","Ecology of fear: Foraging games between predators and prey with pulsed resources",2001,"ANNALES ZOOLOGICI FENNICI","Brown, JS and Kotler, BP and Bouskila, A","English","We model the foraging game between a prey and predator when the prey experiences a temporally pulsed resource (e.g., seed-eating gerbils). Animals have the options of foraging or remaining inactive. Prey harvest resources and incur a mortality risk only while foraging. ESS levels of prey and predator activity have three distinct phases over the time course of a resource pulse. During the first phase, resources are sufficiently abundant to permit profitable foraging by all prey and predators. During the second phase, only a fraction of prey and predator are active. The fraction of active prey is sufficient to allow profitable foraging by the predators. Resource abundances and activity level of predators decline synchronously, balancing the prey's needs for food and safety. During the third phase, resources decline to where both prey and predator cease activity. These adaptive behaviors of prey and predator to resources and to each other promote the stability of the predator-prey dynamics.","","EXPLOITATION ECOSYSTEMS;ANTIPREDATOR BEHAVIOR;HABITAT SELECTION;PATCH USE;RISK;COMPETITION;IDEAL;FOOD;COEXISTENCE;DYNAMICS;Prednisolone;Health Resources","Shawn","Included"
"rayyan-353830689","A stochastic game model of searching predators and hiding prey",2019,"JOURNAL OF THE ROYAL SOCIETY INTERFACE","Alpern, S and Gal, S and Lee, V and Casas, J","English","When the spatial density of both prey and predators is very low, the problem they face may be modelled as a two-person game (called a 'search game') between one member of each type. Following recent models of search and pursuit, we assume the prey has a fixed number of heterogeneous 'hiding' places (for example, ice holes for a seal to breathe) and that the predator (maybe polar bear) has the time or energy to search a fixed number of these. If he searches the actual hiding location and also successfully pursues the prey there, he wins the game. If he fails to find the prey, he loses. In this paper, we modify the outcome in the case that he finds but does not catch the prey. The prey is now vulnerable to capture while relocating with risk depending on the intervening terrain. This generalizes the original games to a stochastic game framework, a first for search and pursuit games. We outline a general solution and also compute particular solutions. This modified model now has implications for the question of when to stay or leave the lair and by what routes. In particular, we find the counterintuitive result that in some cases adding risk of predation during prey relocation may result in more relocation. We also model the process by which the players can learn about the properties of the different hiding locations and find that having to learn the capture probabilities is favourable to the prey.","10.1098/rsif.2019.0087     WE  - Science Citation Index Expanded (SCI-EXPANDED)","game theory;search games;predator-prey theory;pursuit escape;behavioural ecology;Prednisolone","Shawn","Maybe"
